WAA ID,MSSIH_EVENT_SMAS_HISTORY_ID,BASIN,LOCATION,RIVMILE,MSSIH_EVENT_SMAS_SAMPLE_DATE,MSSIH_REPLICATE,MSSIH_BIOSAMPLE_COLLECT_METHOD,MSSIH_TAXONOMIST,MSDH_GENSPECIES,MSDH_INDIVIDUAL_SPECIES_CNT,MSSIH_TOTAL_INDIV_CNT_IND,MSSIH_TOTAL_INDIV_CNT_NOTE,PercentWTSorted,#_Grids,Presence/Absence_%,PDE_(precision counts)_%,PTD_(taxonomic_disagreement)_%,Client_Project_Name
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,oulimnius_sp.,9,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,thienemannimyia_gr._spp.,6,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,limnophyes_sp.,5,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,chaetocladius_sp.,5,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,promoresia_tardella,4,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,parametriocnemus_sp.,4,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,eurylophella_sp.,3,100,early,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,polypedilum_flavum,2,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,paraphaenocladius_sp.,2,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,rhyacophila_sp.,2,100,early,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,lepidostoma_sp.,2,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,lanthus_sp.,1,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,hemerodromia_sp.,1,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,molanna_sp.,1,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,neophylax_sp.,1,100,early,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,hydroptila_sp.,1,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,parachaetocladius_sp.,1,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,maccaffertium_terminatum,1,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,sphaerium_sp.,1,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,clinocera_sp.,1,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,isoperla_sp.,1,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,oreogeton_sp.,1,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,tipula_sp.,1,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,undet._tubificidae_w/o_cap._setae,1,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,undetermined_leptophlebiidae,1,100,damaged,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,orthocladius_(symposiocladius)_lignicola,1,100,,53.95146235,,,,,RMN
470.16-003,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,3,Kick: Standard,WAA,undetermined_ephydridae,1,100,,53.95146235,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,micropsectra_sp.,21,100,,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,parametriocnemus_sp.,10,100,,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,promoresia_tardella,8,100,1A,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,eurylophella_sp.,8,100,,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,tipula_sp.,8,100,,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,ceratopsyche_sparna,6,100,,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,dicranota_sp.,5,100,,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,oulimnius_sp.,4,100,,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,thienemannimyia_gr._spp.,4,100,,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,polypedilum_illinoense,3,100,,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,limnophyes_sp.,2,100,,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,parachaetocladius_sp.,2,100,,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,maccaffertium_meririvulanum,2,100,1 agg,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,stenacron_sp.,2,100,,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,hexatoma_sp.,2,100,,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,cricotopus/orthocladius_complex,2,100,,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,undetermined_dolichopodidae,2,100,,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,undetermined_ceratopogonidae,2,100,,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,lanthus_sp.,1,100,,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,rhyacophila_sp.,1,100,early,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,sweltsa_sp.,1,100,,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,polypedilum_aviceps,1,100,,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,undetermined_perlodidae,1,100,Yugus,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,limnophila_sp.,1,100,,57.65230312,,,,,RMN
470.16-004,11-ARCH-1.9,11,ARCH,1.9,8/5/2020,4,Kick: Standard,WAA,neophylax_sp.,1,100,early,57.65230312,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,leuctra_sp.,20,100,,41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,lepidostoma_sp.,9,100,,41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,rhyacophila_minor,8,100,,41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,maccaffertium_meririvulanum,8,100,,41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,sweltsa_sp.,8,100,,41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,oulimnius_sp.,7,100,,41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,ceratopsyche_sparna,5,100,,41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,dolophilodes_sp.,5,100,,41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,undetermined_ceratopogonidae,4,100,,41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,paraleptophlebia_sp.,3,100,"Neoleptophlebia, 2 agg",41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,tipula_sp.,3,100,,41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,eurylophella_funeralis,3,100,,41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,dixa_sp.,2,100,,41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,polypedilum_aviceps,2,100,,41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,trissopelopia_sp.,2,100,,41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,undetermined_gomphidae,2,100,early,41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,dicranota_sp.,2,100,,41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,hexatoma_sp.,1,100,,41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,polycentropus_sp.,1,100,,41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,micropsectra/tanytarsus_complex,1,100,,41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,parametriocnemus_sp.,1,100,,41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,undetermined_heptageniidae,1,100,"unique, early",41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,thienemanniella_sp.,1,100,,41.42857143,,,,,RMN
470.16-005,09-STRB-0.2,9,STRB,0.2,9/24/2020,1,Kick: Standard,WAA,tvetenia_bavarica_gr.,1,100,,41.42857143,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,leuctra_sp.,18,100,,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,dolophilodes_sp.,18,100,,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,sweltsa_sp.,8,100,,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,ceratopsyche_sparna,7,100,,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,eurylophella_sp.,7,100,early,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,stenacron_sp.,7,100,1 agg,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,rhyacophila_minor,5,100,,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,undetermined_lumbriculidae,3,100,,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,promoresia_tardella,3,100,1A,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,lanthus_sp.,3,100,2 agg,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,eukiefferiella_brehmi_gr.,3,100,,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,paraleptophlebia_sp.,2,100,1 agg,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,dicranota_sp.,2,100,,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,maccaffertium_meririvulanum,2,100,,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,undetermined_ceratopogonidae,2,100,,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,molanna_sp.,1,100,,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,cheumatopsyche_sp.,1,100,,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,rhyacophila_carolina?,1,100,,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,dixa_sp.,1,100,,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,hexatoma_sp.,1,100,,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,oulimnius_sp.,1,100,,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,parametriocnemus_sp.,1,100,,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,micropsectra_sp.,1,100,,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,lepidostoma_sp.,1,100,,53.68731563,,,,,RMN
470.16-006,09-STRB-0.2,9,STRB,0.2,9/24/2020,2,Kick: Standard,WAA,ephemerella_subvaria,1,100,,53.68731563,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,eurylophella_sp.,18,66,early,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,undetermined_lumbriculidae,6,66,,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,sweltsa_sp.,5,66,,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,stenonema_femoratum,5,66,,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,paraleptophlebia_sp.,4,66,1 Neoleptophlebia,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,micropsectra/tanytarsus_complex,3,66,,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,ceratopsyche_sparna,2,66,,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,undetermined_ceratopogonidae,2,66,,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,rhyacophila_minor,2,66,,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,polycentropus_sp.,2,66,,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,lepidostoma_sp.,2,66,,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,leuctra_sp.,2,66,,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,oulimnius_sp.,1,66,,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,sialis_sp.,1,66,,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,undetermined_gomphidae,1,66,early,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,antocha_sp.,1,66,,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,glossosoma_sp.,1,66,,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,lype_diversa,1,66,,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,thienemannimyia_gr._spp.,1,66,,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,micrasema_sp.,1,66,,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,trissopelopia_sp.,1,66,,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,maccaffertium_meririvulanum,1,66,,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,stilocladius_sp.,1,66,,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,palaeagapetus_sp.,1,66,,100,,,,,RMN
470.16-007,09-STRB-0.2,9,STRB,0.2,9/24/2020,3,Kick: Standard,WAA,polypedilum_aviceps,1,66,,100,,,,,RMN
